id;nomMunicipio;f_nacim;f_destete;alzada;peso;sexo;tipo
1;Navia;08/04/2004;12/08/2004;94;175;H;C
2;Grado;09/06/2007;28/11/2007;104;253;H;C
3;Somiedo;10/03/2004;07/07/2004;0;190;H;C
4;Lena;02/06/2009;16/12/2009;106;218;H;N
5;Salas;12/06/2006;02/01/2007;106;262;M;C
6;Llamas de la Ribera;12/09/2005;27/01/2006;102;213;H;AC
7;Belmonte de Miranda;28/03/2006;16/08/2006;0;160;H;C
8;Cangas del Narcea;14/02/2012;27/06/2012;100;161;H;C
9;Regueras (Las);30/03/2010;22/10/2010;100;199;H;C
10;Salas;12/06/2009;24/02/2010;108;315;M;C
11;Lena;05/04/2006;01/12/2006;105;222;H;N
12;Tineo;18/08/2006;20/11/2006;89;131;M;C
13;Somiedo;10/10/2003;10/04/2004;0;190;H;C
14;Cangas del Narcea;25/02/2010;06/09/2010;102;187;H;C
15;Regueras (Las);08/03/2008;21/10/2008;107;224;M;N
16;Cangas del Narcea;16/03/2008;23/09/2008;107;246;H;C
17;Cabezón de la Sal;09/06/2004;17/12/2004;103;251;M;C
18;Cangas del Narcea;01/09/2010;10/12/2010;92;151;H;C
19;Somiedo;23/02/2012;07/11/2012;102;205;H;C
20;Tineo;21/07/2005;02/12/2005;105;212;M;C
21;Cangas del Narcea;10/09/2005;26/12/2005;97;203;M;C
22;Castrillón;31/07/2011;19/04/2012;115;235;H;C
23;Regueras (Las);15/04/2012;28/09/2012;106;242;M;C
24;Cangas del Narcea;18/09/2004;25/01/2005;96;182;H;N
25;Aller;16/04/2009;17/11/2009;102;193;M;N
26;Somiedo;28/07/2005;26/01/2006;97;174;M;C
27;Ramales de la Victoria;31/05/2010;19/10/2010;100;195;M;C
28;Nava;21/03/2012;20/12/2012;116;273;H;N
29;Tineo;15/06/2005;03/01/2006;103;251;M;C
30;Onís;20/01/2004;24/09/2004;106;277;H;C
31;Llanera;22/04/2008;25/09/2008;102;207;M;C
32;Carreño;08/04/2007;19/07/2007;87;143;H;C
33;Tineo;17/10/2005;05/05/2006;99;218;H;C
34;Colunga;30/09/2009;18/05/2010;109;279;H;C
35;Guriezo;10/12/2005;29/05/2006;112;316;M;C
36;Cangas de Onís;13/08/2007;28/01/2008;98;209;H;C
37;Cangas del Narcea;12/07/2007;16/10/2007;94;164;M;C
38;Grado;06/05/2012;14/11/2012;108;264;H;C
39;Guriezo;19/04/2007;22/10/2007;105;238;H;C
40;Villablino;06/04/2008;15/10/2008;107;251;M;C
41;Somiedo;10/08/2005;16/03/2006;104;244;H;C
42;Regueras (Las);17/07/2006;12/02/2007;102;215;H;C
43;Caso;10/03/2010;16/11/2010;104;210;H;N
44;Grado;30/07/2010;19/01/2011;101;178;H;C
45;Somiedo;10/07/2005;24/12/2005;99;207;M;C
46;Nava;19/10/2009;12/04/2010;98;192;H;C
47;Grandas de Salime;12/05/2005;19/10/2005;103;243;H;C
48;Tineo;14/06/2008;13/01/2009;105;254;H;C
49;Cangas del Narcea;25/04/2007;18/10/2007;103;231;M;C
50;Oviedo;12/07/2008;27/01/2009;109;258;H;C
51;Voto;08/10/2008;19/03/2009;102;255;H;C
